participant_token	step_index	video_key	actual_source	condition	seen_label	real_or_fake	answer_is_correct	ai_likelihood	confidence_probability	q_uncertainty_question	uncertainty_level	information_credibility	trust_label	trust_platform	decision_time_ms	video_watch_ratio_percent	pause_count	rewatch_count	hesitation_score	recorded_at
e302a706-eb06-4e69-a016-e1640535a737	1	video_1	AI	informational	TRUE	fake	TRUE	4	81	How uncertain are you?	2	6	3	3	9286	92	2	1	14.29	2026-03-28T12:39:29.451530
e302a706-eb06-4e69-a016-e1640535a737	2	video_2	AI	informational	TRUE	fake	TRUE	5	92	How uncertain are you?	1	4	4	3	15714	76	5	0	23.21	2026-03-28T12:31:17.451530
e302a706-eb06-4e69-a016-e1640535a737	3	video_3	real	informational	TRUE	fake	FALSE	1	67	How uncertain are you?	4	6	5	4	18604	84	3	0	23.10	2026-03-28T12:37:45.451530
e302a706-eb06-4e69-a016-e1640535a737	4	video_4	real	informational	TRUE	real	TRUE	3	77	How uncertain are you?	2	3	3	3	23416	82	4	1	31.42	2026-03-28T12:32:26.451530
b98fdea9-1469-4361-ad1e-0431b12fd9a9	1	video_1	AI	minimalist	TRUE	fake	TRUE	3	81	How uncertain are you?	1	6	3	3	19964	91	4	2	29.96	2026-03-28T09:40:44.451530
b98fdea9-1469-4361-ad1e-0431b12fd9a9	2	video_2	AI	minimalist	TRUE	fake	TRUE	4	72	How uncertain are you?	1	3	2	3	9289	88	4	1	17.29	2026-03-28T09:40:17.451530
b98fdea9-1469-4361-ad1e-0431b12fd9a9	3	video_3	real	minimalist	TRUE	real	TRUE	3	70	How uncertain are you?	3	6	4	3	19853	100	4	2	29.85	2026-03-28T09:45:43.451530
b98fdea9-1469-4361-ad1e-0431b12fd9a9	4	video_4	real	minimalist	TRUE	real	TRUE	2	82	How uncertain are you?	3	6	4	4	24550	78	0	2	28.55	2026-03-28T09:40:39.451530
38fdd192-cb3f-44df-bb46-f29d8bc9305f	1	video_1	AI	control		fake	TRUE	3	90	How uncertain are you?	3	5			11625	70	5	2	23.12	2026-03-28T18:08:55.451530
38fdd192-cb3f-44df-bb46-f29d8bc9305f	2	video_2	AI	control		real	FALSE	5	75	How uncertain are you?	3	4			11809	89	1	2	17.31	2026-03-28T18:15:04.451530
38fdd192-cb3f-44df-bb46-f29d8bc9305f	3	video_3	real	control		real	TRUE	2	88	How uncertain are you?	3	6			23239	94	3	2	31.74	2026-03-28T18:12:04.451530
38fdd192-cb3f-44df-bb46-f29d8bc9305f	4	video_4	real	control		real	TRUE	1	98	How uncertain are you?	2	6			17354	61	0	0	17.35	2026-03-28T18:07:39.451530
5d55ecbb-7f7c-4850-b1ec-0ca6a7434250	1	video_1	AI	strong	TRUE	fake	TRUE	5	72	How uncertain are you?	2	5	5	5	26166	74	1	0	27.67	2026-03-27T20:22:52.451530
5d55ecbb-7f7c-4850-b1ec-0ca6a7434250	2	video_2	AI	strong	TRUE	fake	TRUE	3	77	How uncertain are you?	1	3	5	4	25759	98	4	2	35.76	2026-03-27T20:27:11.451530
5d55ecbb-7f7c-4850-b1ec-0ca6a7434250	3	video_3	real	strong	TRUE	fake	FALSE	2	62	How uncertain are you?	4	6	5	4	15255	90	2	1	20.26	2026-03-27T20:24:44.451530
5d55ecbb-7f7c-4850-b1ec-0ca6a7434250	4	video_4	real	strong	TRUE	real	TRUE	3	60	How uncertain are you?	4	4	4	4	13440	99	0	2	17.44	2026-03-27T20:21:44.451530
87401b9f-4f5d-414e-8999-dfdfd7295711	1	video_1	AI	informational	TRUE	real	FALSE	4	74	How uncertain are you?	3	6	3	5	11749	65	2	2	18.75	2026-03-28T17:26:17.451530
87401b9f-4f5d-414e-8999-dfdfd7295711	2	video_2	AI	informational	TRUE	real	FALSE	3	73	How uncertain are you?	1	6	4	3	8502	82	4	0	14.50	2026-03-28T17:25:33.451530
87401b9f-4f5d-414e-8999-dfdfd7295711	3	video_3	real	informational	TRUE	real	TRUE	1	76	How uncertain are you?	1	4	4	5	5612	76	0	1	7.61	2026-03-28T17:23:52.451530
87401b9f-4f5d-414e-8999-dfdfd7295711	4	video_4	real	informational	TRUE	real	TRUE	1	79	How uncertain are you?	1	5	3	4	6529	86	3	1	13.03	2026-03-28T17:21:49.451530
b3d0876a-ca67-49e6-b961-899d7805b6bf	1	video_1	AI	minimalist	TRUE	real	FALSE	4	94	How uncertain are you?	2	6	4	2	13442	84	4	1	21.44	2026-03-28T14:46:05.451530
b3d0876a-ca67-49e6-b961-899d7805b6bf	2	video_2	AI	minimalist	TRUE	real	FALSE	5	79	How uncertain are you?	2	3	2	3	22069	74	1	1	25.57	2026-03-28T14:41:27.451530
b3d0876a-ca67-49e6-b961-899d7805b6bf	3	video_3	real	minimalist	TRUE	real	TRUE	2	84	How uncertain are you?	2	6	2	3	13203	81	2	0	16.20	2026-03-28T14:43:27.451530
b3d0876a-ca67-49e6-b961-899d7805b6bf	4	video_4	real	minimalist	TRUE	fake	FALSE	3	84	How uncertain are you?	1	4	3	2	6554	74	2	0	9.55	2026-03-28T14:43:10.451530
7a6d784d-9c98-42df-a7e0-89dd63b1d1e9	1	video_1	AI	control		fake	TRUE	4	92	How uncertain are you?	3	3			26687	95	3	2	35.19	2026-03-28T10:22:29.451530
7a6d784d-9c98-42df-a7e0-89dd63b1d1e9	2	video_2	AI	control		real	FALSE	3	99	How uncertain are you?	2	3			21864	68	4	2	31.86	2026-03-28T10:21:47.451530
7a6d784d-9c98-42df-a7e0-89dd63b1d1e9	3	video_3	real	control		real	TRUE	2	85	How uncertain are you?	1	5			20016	64	0	1	22.02	2026-03-28T10:17:46.451530
7a6d784d-9c98-42df-a7e0-89dd63b1d1e9	4	video_4	real	control		real	TRUE	1	100	How uncertain are you?	3	6			3466	74	4	2	13.47	2026-03-28T10:24:59.451530
aadb9df1-6638-4245-ac78-15e2e910518d	1	video_1	AI	strong	TRUE	fake	TRUE	4	75	How uncertain are you?	1	3	4	4	10055	83	5	0	17.55	2026-03-28T21:42:04.451530
aadb9df1-6638-4245-ac78-15e2e910518d	2	video_2	AI	strong	TRUE	fake	TRUE	5	84	How uncertain are you?	2	6	5	5	15417	83	4	0	21.42	2026-03-28T21:33:01.451530
aadb9df1-6638-4245-ac78-15e2e910518d	3	video_3	real	strong	TRUE	real	TRUE	2	63	How uncertain are you?	4	3	5	5	4915	96	1	2	10.41	2026-03-28T21:39:46.451530
aadb9df1-6638-4245-ac78-15e2e910518d	4	video_4	real	strong	TRUE	fake	FALSE	1	81	How uncertain are you?	2	3	5	4	22743	78	4	2	32.74	2026-03-28T21:33:32.451530
c53e8058-11c6-4c10-896c-44d67456f128	1	video_1	AI	informational	TRUE	fake	TRUE	3	71	How uncertain are you?	1	6	4	4	17092	82	5	0	24.59	2026-03-27T16:37:20.451530
c53e8058-11c6-4c10-896c-44d67456f128	2	video_2	AI	informational	TRUE	fake	TRUE	3	75	How uncertain are you?	1	4	5	5	6313	97	1	2	11.81	2026-03-27T16:31:09.451530
c53e8058-11c6-4c10-896c-44d67456f128	3	video_3	real	informational	TRUE	fake	FALSE	3	80	How uncertain are you?	3	4	4	3	11109	84	4	0	17.11	2026-03-27T16:38:41.451530
c53e8058-11c6-4c10-896c-44d67456f128	4	video_4	real	informational	TRUE	fake	FALSE	3	89	How uncertain are you?	3	3	4	5	12284	65	0	2	16.28	2026-03-27T16:31:01.451530
e7ab271b-aacd-48a9-9129-37739b05e43c	1	video_1	AI	minimalist	TRUE	fake	TRUE	5	77	How uncertain are you?	1	4	4	2	8842	68	2	0	11.84	2026-03-27T23:20:37.451530
e7ab271b-aacd-48a9-9129-37739b05e43c	2	video_2	AI	minimalist	TRUE	fake	TRUE	3	87	How uncertain are you?	1	5	3	4	10339	69	5	0	17.84	2026-03-27T23:24:30.451530
e7ab271b-aacd-48a9-9129-37739b05e43c	3	video_3	real	minimalist	TRUE	real	TRUE	3	85	How uncertain are you?	2	6	3	4	8521	92	4	2	18.52	2026-03-27T23:24:21.451530
e7ab271b-aacd-48a9-9129-37739b05e43c	4	video_4	real	minimalist	TRUE	real	TRUE	2	76	How uncertain are you?	1	3	4	4	11134	73	0	2	15.13	2026-03-27T23:22:24.451530
0c04aa87-0d72-4175-ad9f-ff2912481b66	1	video_1	AI	control		fake	TRUE	4	80	How uncertain are you?	3	4			9149	75	2	2	16.15	2026-03-27T10:40:56.451530
0c04aa87-0d72-4175-ad9f-ff2912481b66	2	video_2	AI	control		real	FALSE	3	84	How uncertain are you?	3	4			21686	95	2	0	24.69	2026-03-27T10:38:47.451530
0c04aa87-0d72-4175-ad9f-ff2912481b66	3	video_3	real	control		fake	FALSE	3	100	How uncertain are you?	2	4			14507	79	3	1	21.01	2026-03-27T10:42:00.451530
0c04aa87-0d72-4175-ad9f-ff2912481b66	4	video_4	real	control		fake	FALSE	3	87	How uncertain are you?	1	5			24580	69	0	2	28.58	2026-03-27T10:38:41.451530
f28c1497-2868-4d01-a9ef-3b62a6f31cfb	1	video_1	AI	strong	TRUE	real	FALSE	4	85	How uncertain are you?	3	4	5	5	8945	93	3	1	15.45	2026-03-27T13:01:57.451530
f28c1497-2868-4d01-a9ef-3b62a6f31cfb	2	video_2	AI	strong	TRUE	fake	TRUE	4	89	How uncertain are you?	1	4	5	5	22137	100	5	0	29.64	2026-03-27T12:59:27.451530
f28c1497-2868-4d01-a9ef-3b62a6f31cfb	3	video_3	real	strong	TRUE	real	TRUE	2	73	How uncertain are you?	1	4	5	4	17175	93	0	1	19.18	2026-03-27T13:08:55.451530
f28c1497-2868-4d01-a9ef-3b62a6f31cfb	4	video_4	real	strong	TRUE	real	TRUE	3	77	How uncertain are you?	3	3	5	4	22968	89	2	2	29.97	2026-03-27T13:04:35.451530
e11c3c7d-8f16-455b-be3e-2cf12758cc80	1	video_1	AI	informational	TRUE	fake	TRUE	4	90	How uncertain are you?	1	5	3	5	14974	69	1	2	20.47	2026-03-28T10:21:40.451530
e11c3c7d-8f16-455b-be3e-2cf12758cc80	2	video_2	AI	informational	TRUE	fake	TRUE	5	68	How uncertain are you?	3	4	3	4	5736	64	5	1	15.24	2026-03-28T10:25:37.451530
e11c3c7d-8f16-455b-be3e-2cf12758cc80	3	video_3	real	informational	TRUE	fake	FALSE	1	92	How uncertain are you?	3	5	5	4	13079	90	3	1	19.58	2026-03-28T10:26:40.451530
e11c3c7d-8f16-455b-be3e-2cf12758cc80	4	video_4	real	informational	TRUE	real	TRUE	3	80	How uncertain are you?	1	3	3	5	4424	88	2	2	11.42	2026-03-28T10:24:47.451530
903e7a1d-e98a-47b2-a6ee-7160a61b3b7b	1	video_1	AI	minimalist	TRUE	fake	TRUE	5	90	How uncertain are you?	2	4	4	4	26140	77	3	2	34.64	2026-03-27T09:29:40.451530
903e7a1d-e98a-47b2-a6ee-7160a61b3b7b	2	video_2	AI	minimalist	TRUE	real	FALSE	5	91	How uncertain are you?	3	6	4	3	14141	63	1	1	17.64	2026-03-27T09:33:37.451530
903e7a1d-e98a-47b2-a6ee-7160a61b3b7b	3	video_3	real	minimalist	TRUE	real	TRUE	1	80	How uncertain are you?	3	5	4	4	8260	77	3	0	12.76	2026-03-27T09:26:12.451530
903e7a1d-e98a-47b2-a6ee-7160a61b3b7b	4	video_4	real	minimalist	TRUE	real	TRUE	2	80	How uncertain are you?	3	4	4	4	9013	61	4	2	19.01	2026-03-27T09:34:04.451530
4eea11ed-dbe5-4267-885e-98ba2c4badcc	1	video_1	AI	control		fake	TRUE	5	78	How uncertain are you?	2	6			24065	96	3	1	30.57	2026-03-28T20:20:53.451530
4eea11ed-dbe5-4267-885e-98ba2c4badcc	2	video_2	AI	control		real	FALSE	4	100	How uncertain are you?	2	4			26550	65	1	1	30.05	2026-03-28T20:26:34.451530
4eea11ed-dbe5-4267-885e-98ba2c4badcc	3	video_3	real	control		real	TRUE	3	82	How uncertain are you?	1	5			7381	74	1	0	8.88	2026-03-28T20:27:49.451530
4eea11ed-dbe5-4267-885e-98ba2c4badcc	4	video_4	real	control		real	TRUE	2	99	How uncertain are you?	1	6			12178	84	0	2	16.18	2026-03-28T20:26:59.451530
f848d75c-271c-441c-a598-258f058be957	1	video_1	AI	strong	TRUE	fake	TRUE	5	85	How uncertain are you?	1	3	5	4	23083	74	5	2	34.58	2026-03-27T20:09:40.451530
f848d75c-271c-441c-a598-258f058be957	2	video_2	AI	strong	TRUE	real	FALSE	4	65	How uncertain are you?	4	6	4	4	11460	74	1	1	14.96	2026-03-27T20:06:55.451530
f848d75c-271c-441c-a598-258f058be957	3	video_3	real	strong	TRUE	real	TRUE	1	67	How uncertain are you?	5	5	4	4	17299	88	1	0	18.80	2026-03-27T20:14:10.451530
f848d75c-271c-441c-a598-258f058be957	4	video_4	real	strong	TRUE	fake	FALSE	3	87	How uncertain are you?	2	5	5	4	19872	61	4	1	27.87	2026-03-27T20:06:37.451530
9f7b20d2-bd1d-4526-b44e-fa2ad917e457	1	video_1	AI	informational	TRUE	fake	TRUE	3	93	How uncertain are you?	2	6	3	5	13026	62	3	2	21.53	2026-03-28T11:21:03.451530
9f7b20d2-bd1d-4526-b44e-fa2ad917e457	2	video_2	AI	informational	TRUE	fake	TRUE	5	77	How uncertain are you?	2	3	5	3	10994	71	3	2	19.49	2026-03-28T11:24:40.451530
9f7b20d2-bd1d-4526-b44e-fa2ad917e457	3	video_3	real	informational	TRUE	real	TRUE	3	79	How uncertain are you?	2	5	4	3	6631	81	2	0	9.63	2026-03-28T11:17:29.451530
9f7b20d2-bd1d-4526-b44e-fa2ad917e457	4	video_4	real	informational	TRUE	real	TRUE	1	93	How uncertain are you?	1	6	5	5	7959	74	1	0	9.46	2026-03-28T11:22:57.451530
27ff2285-2157-42fa-9e08-91ab72411ed8	1	video_1	AI	minimalist	TRUE	fake	TRUE	3	95	How uncertain are you?	1	5	4	4	19601	80	2	2	26.60	2026-03-28T11:42:08.451530
27ff2285-2157-42fa-9e08-91ab72411ed8	2	video_2	AI	minimalist	TRUE	fake	TRUE	3	86	How uncertain are you?	1	4	2	4	7478	100	1	1	10.98	2026-03-28T11:42:38.451530
